SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.167041,0.6018911,0.19290024,0.19379200112074613,0.18944000080227852,0.19763200217857957,0.0016019957466529428
25,9.134753,0.43415686,0.20121515,0.43146239895839245,0.42188799008727074,0.4382719867862761,0.003363258156365294
100,9.855789,0.40367457,0.18900941,1.1860479944199325,1.1673599886707962,1.203199999872595,0.0064834200679668415
400,10.313337,0.40311122,0.17661586,4.260894753583707,4.135935912840068,4.35097612766549,0.043119848096473797
1600,10.359963,0.43221033,0.17039554,16.885032907249407,16.537599916104227,17.122304284013808,0.14255794378587358
3600,10.355539,0.46278825,0.16922744,39.42944759226404,38.52185783023015,40.38758546859026,0.32789616464048976
6400,10.350188,0.4871343,0.16907047,69.99861249075737,68.94796665059403,71.80493076331913,0.5054632198137292
