SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.123194,0.5979872,0.19418114,0.194457601592876,0.1904640020802617,0.19763200264424086,0.0016415970664767896
25,8.565072,0.41509497,0.21846528,0.43292671992443504,0.4239359903149307,0.44134400272741914,0.0033794453323527014
100,8.498109,0.37745965,0.22826807,1.1916185607155785,1.1581440307199955,1.2134399660862982,0.009844990041757208
400,8.220586,0.37472793,0.2392153,4.2745138705102725,4.203520419541746,4.354048127774149,0.03986665743744729
1600,7.978182,0.41124144,0.25053814,16.9490431208862,16.51712022256106,17.319936119951308,0.1342338881915298
3600,7.91385,0.44487092,0.2541856,39.38430956275668,38.543362938798964,40.083457740955055,0.26773353748050266
6400,7.8974533,0.4679866,0.25519255,70.08907224604394,69.18758470518515,76.31973941763863,0.7928292621782077
