Method,Avg (ms),Std,Min (ms),Max (ms)
Constant,0.5919641577790026,0.0036895122011997663,0.5826560143614188,0.6021120066288859
Incremental,0.7011327991005964,0.0036678627496874237,0.692224012222141,0.7096320254495367
Cumulative,0.6462361569993663,0.004164786957882015,0.6328319957247004,0.6574079968268052
