SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.156696,0.5985516,0.19325066,0.19488768187817185,0.19148800056427717,0.1996800024062395,0.0019637321608530147
25,9.145664,0.43613043,0.20064037,0.4332031995104626,0.4249599985778332,0.4392960094846785,0.0034403181309659385
100,9.841996,0.40551648,0.18931346,1.1811942503834143,1.1622399426996708,1.202175961341709,0.0072168289963144535
400,10.3207245,0.40394244,0.17620072,4.266577898538672,4.145151752978563,4.342784279491752,0.03974920611039252
1600,10.3539715,0.43261242,0.17036487,16.89549822228495,16.336894356645644,17.24518448021263,0.1455565893707141
3600,10.356959,0.46269596,0.16916524,39.511019536247474,38.84748801775277,40.381442146375775,0.2978742235158693
6400,10.354591,0.48817018,0.16900522,70.1558474070346,69.32890133466572,72.09369307011366,0.39045754303806884
