tap_count,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.322427,0.6224489,0.18834513,0.10073056046734565,0.08943999896291643,0.2849920087028295,0.025937567115245974
5,10.803516,0.6060465,0.14843483,0.32506496034679006,0.3038399970391765,0.6070400363532826,0.039828332838501734
10,12.451744,0.61012745,0.11291873,0.9445152025681455,0.8899199803126976,1.3143359211971983,0.10191544750938385
20,13.2808,0.6283517,0.09556697,3.615651844526874,3.2554880991810933,4.571232070098631,0.4533012775298782
40,13.450521,0.6630901,0.09145159,15.01858153642388,12.778368415893055,18.499391768011265,1.5185887764767558
60,13.46697,0.68874687,0.09128871,35.28436863178271,32.036318186554126,36.143071868573315,0.8550102083573724
80,13.479055,0.70593625,0.09128783,62.50747843106161,56.73948922834825,64.31958212109748,1.590870426991094
