Bokeh Technique Profiling Summary
==================================================

Warmup frames: 5
Profiling frames: 100

GPU Timings (ms):
--------------------------------------------------
Pass                                Avg      Min      Max
Tex: _loadedTexture_75            0.001    0.000    0.001
Tex: _loadedTexture_33            0.001    0.000    0.001
Tex: _loadedTexture_20            0.001    0.000    0.001
Tex: _loadedTexture_38            0.001    0.000    0.001
Tex: _loadedTexture_12            0.001    0.000    0.001
Tex: _loadedTexture_17            0.001    0.000    0.001
Tex: _loadedTexture_67            0.001    0.000    0.001
Tex: _loadedTexture_73            0.001    0.000    0.001
Tex: _loadedTexture_10            0.001    0.000    0.001
Tex: _loadedTexture_55            0.001    0.000    0.001
Tex: _loadedTexture_30            0.001    0.000    0.001
Tex: _loadedTexture_64            0.001    0.000    0.001
Tex: _loadedTexture_49            0.001    0.000    0.001
Tex: _loadedTexture_68            0.001    0.001    0.001
Tex: _loadedTexture_47            0.001    0.000    0.001
Tex: _loadedTexture_74            0.001    0.000    0.001
Tex: _loadedTexture_6             0.001    0.001    0.001
Tex: _loadedTexture_70            0.001    0.000    0.001
Tex: _loadedTexture_52            0.001    0.000    0.001
Tex: _loadedTexture_19            0.001    0.000    0.001
Tex: _loadedTexture_28            0.001    0.000    0.001
Tex: _loadedTexture_57            0.001    0.000    0.001
Tex: _loadedTexture_69            0.001    0.000    0.001
Tex: _loadedTexture_26            0.001    0.000    0.001
Tex: _loadedTexture_43            0.001    0.001    0.001
Tex: _loadedTexture_22            0.001    0.000    0.001
Tex: _loadedTexture_65            0.001    0.000    0.001
Tex: _loadedTexture_42            0.001    0.000    0.001
Tex: _loadedTexture_81            0.001    0.000    0.001
Tex: _loadedTexture_35            0.001    0.000    0.001
Tex: _loadedTexture_2             0.001    0.001    0.001
Tex: _loadedTexture_16            0.001    0.000    0.001
Tex: _loadedTexture_18            0.001    0.000    0.001
Tex: _loadedTexture_15            0.001    0.000    0.001
Tex: _loadedTexture_13            0.001    0.000    0.001
Tex: _loadedTexture_62            0.001    0.000    0.001
Tex: _loadedTexture_21            0.001    0.000    0.001
Tex: _loadedTexture_56            0.001    0.000    0.001
Tex: _loadedTexture_82            0.001    0.000    0.001
Tex: LinearDepth                  0.001    0.000    0.001
Tex: _loadedTexture_94            0.000    0.000    0.001
Tex: ColorHDR                     0.000    0.000    0.001
Tex: _loadedTexture_201           0.000    0.000    0.001
Tex: _loadedTexture_131           0.000    0.000    0.001
Tex: _loadedTexture_97            0.000    0.000    0.001
Tex: _loadedTexture_144           0.000    0.000    0.001
Tex: _loadedTexture_177           0.000    0.000    0.001
