Method,Avg (ms),Std,Min (ms),Max (ms)
Constant,0.8197631987801287,0.0067247632555047,0.8079359960975125,0.8417279905406758
Incremental,0.9577369613328482,0.011393854374257115,0.9359359943773597,0.9922560073900968
Cumulative,0.8744755200203508,0.005923258771330437,0.861184008885175,0.8980480494210497
