SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.411201,0.63046175,0.18576777,0.1966694417083636,0.1894400012679398,0.425984013825655,0.02312328166739858
25,12.155045,0.6558828,0.122453555,0.7144140816060827,0.7004160098731518,0.7434240165166557,0.007162227888838539
100,15.873169,0.6886024,0.076184,1.6750694445334375,1.6527359751053154,1.704959983471781,0.012196954519428822
400,18.058037,0.72993493,0.061448958,5.993093144795857,5.655552262440324,6.423552158754319,0.11633815058034176
1600,18.379177,0.7852483,0.061841894,22.193930211132393,21.819393016863614,22.790143580175936,0.2887909168884115
3600,18.432236,0.8187111,0.062238216,50.014873640420845,49.26566460262984,51.22047933284193,0.42449250871866345
6400,18.441048,0.8397503,0.062432975,87.58601746432483,86.68057396961376,88.96716885175556,0.5231956869940325
