Method,Avg (ms),Std,Min (ms),Max (ms)
Constant,0.5960089568188414,0.004608956464146604,0.5836799991084263,0.6062079850817099
Incremental,0.7026073591178283,0.0033559099415003436,0.6952959959162399,0.7096320115961134
Cumulative,0.6489395176176913,0.0038583325014416602,0.6400000016437843,0.6574079912388697
