SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.153386,0.6055391,0.19335009,0.21667840295471252,0.19251200230792165,0.5345280095934868,0.06738869391188816
25,8.960619,0.54228836,0.20344959,0.48484352238941936,0.46796800568699837,0.7321599898859859,0.0436698414971003
100,9.040796,0.5370398,0.20253348,1.4993305581761525,1.3486080202274024,1.7018879600800574,0.13141943489062655
400,9.042799,0.5398486,0.20080666,5.613742086235434,4.955135959200561,6.465536225121468,0.5929857926313397
1600,9.014707,0.54987794,0.20069182,21.920798655678517,20.208639682270586,24.863743857946247,1.067150679384807
3600,9.009911,0.55835295,0.20075308,48.29712395053357,45.747198642697185,52.64281640434638,0.8173292006019723
6400,9.0073595,0.5643677,0.20089564,84.51715031208471,83.2358413040638,85.96480374131352,0.5723933110244712
