SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.123491,0.5952638,0.1942737,0.1913753611315042,0.18739200057461858,0.19456000113859773,0.0015790532116224953
25,8.794716,0.38620147,0.21400256,0.662087675537914,0.6492160032503307,0.6973439711146057,0.008770903486684642
100,9.252772,0.34136105,0.21361007,1.4338048079796135,1.4182401020079851,1.479679967276752,0.008729848012889114
400,9.669172,0.33049992,0.2049952,5.012633589040488,4.7278083972632885,5.247999804560095,0.17597517805528676
1600,9.735888,0.3521926,0.19823642,18.66333186072763,18.35827173665166,18.79449522634968,0.09337215658535622
3600,9.725243,0.3802905,0.1966751,42.20048379568383,41.48735986137763,43.68793664313853,0.40582805654803933
6400,9.725935,0.40480897,0.1958025,73.49742576201912,73.02757772244513,74.6127420058474,0.26391245051902146
