SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.402096,0.63023233,0.18602832,0.19932160128373652,0.19558400055393577,0.2027520020492375,0.0017460628661403526
25,12.20242,0.6562918,0.12060336,0.5426483210036531,0.5345279984176159,0.549888024572283,0.0034062594234211155
100,16.012276,0.6860879,0.072483934,1.646059518745169,1.6230400018393993,1.671167986933142,0.008731645828475744
400,19.200462,0.72287494,0.050096408,6.1520281893713396,5.954559924546629,6.276096203830093,0.05527300413462462
1600,20.245193,0.77302027,0.045187034,25.66791169298347,24.76236803084612,26.822657414712012,0.422445608992451
3600,20.41164,0.8064823,0.045021754,59.31817972844001,58.232831998728216,62.16704009473324,0.6201966955454513
6400,20.480251,0.8294137,0.04506524,105.52216604600194,104.08038309868425,107.28653266048059,0.6493672286785724
