Profiling Summary: GatherDoF_TapCount_10_Constant
============================================================

Warmup frames: 10
Profiling frames: 100

GPU Timings (ms):
------------------------------------------------------------
Pass                                          Avg      Min      Max
Tex: _loadedTexture_55                      0.000    0.000    0.001
Tex: _loadedTexture_66                      0.000    0.000    0.001
Tex: _loadedTexture_195                     0.000    0.000    0.001
Tex: _loadedTexture_113                     0.000    0.000    0.001
Const: _RayGenCB                            0.000    0.000    0.001
Tex: _loadedTexture_192                     0.000    0.000    0.001
Tex: _loadedTexture_28                      0.000    0.000    0.001
Tex: _loadedTexture_58                      0.000    0.000    0.001
Tex: _loadedTexture_176                     0.000    0.000    0.001
Tex: _loadedTexture_201                     0.000    0.000    0.001
Tex: _loadedTexture_206                     0.000    0.000    0.001
Tex: _loadedTexture_85                      0.000    0.000    0.001
Tex: _loadedTexture_21                      0.000    0.000    0.001
Tex: _loadedTexture_169                     0.000    0.000    0.001
Tex: _loadedTexture_82                      0.000    0.000    0.001
Tex: _loadedTexture_149                     0.000    0.000    0.001
Tex: _loadedTexture_158                     0.000    0.000    0.001
Tex: _loadedTexture_168                     0.000    0.000    0.001
Tex: _loadedTexture_134                     0.000    0.000    0.001
Tex: _loadedTexture_188                     0.000    0.000    0.001
Tex: _loadedTexture_196                     0.000    0.000    0.001
Tex: _loadedTexture_183                     0.000    0.000    0.001
Tex: _loadedTexture_13                      0.000    0.000    0.001
Tex: _loadedTexture_187                     0.000    0.000    0.001
Tex: _loadedTexture_126                     0.000    0.000    0.001
Tex: _loadedTexture_22                      0.000    0.000    0.001
Tex: _loadedTexture_140                     0.000    0.000    0.001
Tex: _loadedTexture_198                     0.000    0.000    0.001
Tex: _loadedTexture_154                     0.000    0.000    0.001
Tex: _loadedTexture_156                     0.000    0.000    0.001
Tex: _loadedTexture_141                     0.000    0.000    0.001
Tex: _loadedTexture_15                      0.000    0.000    0.001
Tex: _loadedTexture_123                     0.000    0.000    0.001
Tex: _loadedTexture_147                     0.000    0.000    0.001
Tex: _loadedTexture_128                     0.000    0.000    0.001
Tex: _loadedTexture_121                     0.000    0.000    0.001
Tex: _loadedTexture_152                     0.000    0.000    0.001
Tex: _loadedTexture_208                     0.000    0.000    0.001
Tex: _loadedTexture_165                     0.000    0.000    0.001
Tex: _loadedTexture_89                      0.000    0.000    0.001
Tex: _loadedTexture_159                     0.000    0.000    0.001
Tex: _loadedTexture_172                     0.000    0.000    0.001
Tex: _loadedTexture_80                      0.000    0.000    0.001
Tex: _loadedTexture_132                     0.000    0.000    0.001
Tex: _loadedTexture_69                      0.000    0.000    0.001
Tex: _loadedTexture_202                     0.000    0.000    0.001
Tex: _loadedTexture_138                     0.000    0.000    0.001
Tex: _loadedTexture_191                     0.000    0.000    0.001
Tex: _loadedTexture_68                      0.000    0.000    0.001
Tex: _loadedTexture_109                     0.000    0.000    0.001
Tex: _loadedTexture_96                      0.000    0.000    0.001
Tex: _loadedTexture_74                      0.000    0.000    0.001
Tex: _loadedTexture_150                     0.000    0.000    0.001
Tex: _loadedTexture_72                      0.000    0.000    0.001
Tex: _loadedTexture_51                      0.000    0.000    0.001
Tex: _loadedTexture_24                      0.000    0.000    0.001
Tex: _loadedTexture_161                     0.000    0.000    0.001
Tex: _loadedTexture_135                     0.000    0.000    0.001
Tex: _loadedTexture_170                     0.000    0.000    0.001
Tex: _loadedTexture_42                      0.000    0.000    0.001
Tex: _loadedTexture_179                     0.000    0.000    0.001
Tex: _loadedTexture_10                      0.000    0.000    0.001
Tex: _loadedTexture_26                      0.000    0.000    0.001
Tex: _loadedTexture_174                     0.000    0.000    0.001
Tex: _loadedTexture_17                      0.000    0.000    0.001
Tex: _loadedTexture_163                     0.000    0.000    0.001
Tex: _loadedTexture_118                     0.000    0.000    0.001
Tex: _loadedTexture_199                     0.000    0.000    0.001
Tex: _loadedTexture_181                     0.000    0.000    0.001
Tex: _loadedTexture_64                      0.000    0.000    0.001
Tex: _loadedTexture_114                     0.000    0.000    0.001
Tex: _loadedTexture_139                     0.000    0.000    0.001
Tex: _loadedTexture_105                     0.000    0.000    0.001
Tex: _loadedTexture_98                      0.000    0.000    0.001
Tex: _loadedTexture_29                      0.000    0.000    0.001
Tex: _loadedTexture_116                     0.000    0.000    0.001
Tex: _loadedTexture_205                     0.000    0.000    0.001
Tex: _loadedTexture_60                      0.000    0.000    0.001
Tex: _loadedTexture_197                     0.000    0.000    0.001
Tex: _loadedTexture_145                     0.000    0.000    0.001
Tex: _loadedTexture_62                      0.000    0.000    0.001
Tex: _loadedTexture_129                     0.000    0.000    0.001
Tex: _loadedTexture_200                     0.000    0.000    0.001
Tex: _loadedTexture_133                     0.000    0.000    0.001
Tex: _loadedTexture_30                      0.000    0.000    0.001
Tex: _loadedTexture_107                     0.000    0.000    0.001
Tex: _loadedTexture_136                     0.000    0.000    0.001
Tex: _loadedTexture_8                       0.000    0.000    0.001
Tex: _loadedTexture_70                      0.000    0.000    0.001
Tex: _loadedTexture_35                      0.000    0.000    0.001
Tex: _loadedTexture_190                     0.000    0.000    0.001
Tex: _loadedTexture_79                      0.000    0.000    0.001
Tex: _loadedTexture_6                       0.000    0.000    0.001
Tex: _loadedTexture_87                      0.000    0.000    0.001
Tex: _loadedTexture_143                     0.000    0.000    0.001
Tex: _loadedTexture_100                     0.000    0.000    0.001
Tex: _loadedTexture_34                      0.000    0.000    0.001
Tex: _loadedTexture_31                      0.000    0.000    0.001
Tex: _loadedTexture_40                      0.000    0.000    0.001
Tex: _loadedTexture_78                      0.000    0.000    0.001
Tex: _loadedTexture_75                      0.000    0.000    0.001
Tex: _loadedTexture_91                      0.000    0.000    0.001
Tex: _loadedTexture_53                      0.000    0.000    0.001
Tex: _loadedTexture_130                     0.000    0.000    0.001
Tex: _loadedTexture_207                     0.000    0.000    0.001
Tex: _loadedTexture_127                     0.000    0.000    0.001
Tex: _loadedTexture_39                      0.000    0.000    0.001
Tex: _loadedTexture_37                      0.000    0.000    0.001
Tex: _loadedTexture_120                     0.000    0.000    0.001
Tex: _loadedTexture_44                      0.000    0.000    0.001
Tex: _loadedTexture_81                      0.000    0.000    0.001
Tex: _loadedTexture_210                     0.000    0.000    0.001
Tex: _loadedTexture_194                     0.000    0.000    0.001
Tex: _loadedTexture_5                       0.000    0.000    0.001
Tex: _loadedTexture_33                      0.000    0.000    0.001
Tex: _loadedTexture_76                      0.000    0.000    0.001
Const: _GatherDOF_Pinhole_BlurFarCS_0CB     0.000    0.000    0.001
Tex: ColorHDR__                             0.000    0.000    0.001
Tex: _loadedTexture_209                     0.000    0.000    0.001
Const: _GatherDOF_Pinhole_FloodFillFarCS_1CB    0.000    0.000    0.001
Tex: _loadedTexture_38                      0.000    0.000    0.001
