SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.324598,0.621783,0.18825929,0.09427552015054971,0.09001599892508239,0.0964799999492243,0.0010944457739537879
25,10.815983,0.6060392,0.1481272,0.3367164822039194,0.32937598950229585,0.34214398835320026,0.00226097002987209
100,12.468152,0.61073726,0.11269591,1.0555219189194032,1.0271359843900427,1.3362239898415282,0.04155441263949176
400,13.278051,0.6289008,0.09557086,3.917018894746434,3.7906239695148543,4.554815827985294,0.11530103388665347
1600,13.445293,0.66293234,0.09136977,15.220365705625154,14.697728216997348,18.395391352125444,0.5208801422834631
3600,13.471423,0.6888671,0.09121196,33.60968291727127,32.8618867554469,37.82099239260424,0.6718937793886407
6400,13.478624,0.7057206,0.09128677,60.74265963260899,58.98483237402979,70.98678550112527,1.4100922224455748
