SPP,PSNR,SSIM,L1,avg_ms,min_ms,max_ms,std_ms
1,9.394291,0.63042563,0.18636194,0.1958297608187422,0.1904640020802617,0.19968000100925565,0.0016519119524931638
25,12.110361,0.6548706,0.12454579,0.4898201585561037,0.482303979806602,0.4966400139965117,0.0035537929493141655
100,15.492825,0.687541,0.082400225,1.421250563575886,1.397759917192161,1.4458880606107414,0.00977350969410586
400,16.717117,0.73221236,0.07522832,5.267394583756104,5.142528178635985,5.3493763082660735,0.03988734352537232
1600,16.69672,0.79339,0.078235276,21.265438771257177,20.903936246410012,21.987326696980745,0.2488274838952671
3600,16.676708,0.82542497,0.078925535,48.778065921091475,48.1433609216474,49.972223818302155,0.35313701670460235
6400,16.666252,0.8448915,0.079238,87.08153364716563,85.69753774348646,89.02655704505742,0.6295866351569401
